wavl,"AS(0.00,0.50)","AS(0.00,0.70)","AS(0.00,0.90)","AS(0.00,1.10)","AS(0.00,1.30)","AS(0.00,1.50)"
1.614070351758794,-867.9373022861304,-938.947251892566,-915.8218591888208,-849.2480002347274,-773.1768156040528,-702.4148158275352
1.615577889447236,-856.4322640982266,-934.244459951116,-916.7411602944331,-853.078105425152,-778.4502231331195,-708.1887490372733
1.6170854271356785,-844.8656378536898,-929.5157208544892,-917.665246637396,-856.9297216285024,-783.7540564569379,-713.9968290984662
1.6185929648241206,-833.8171251181855,-924.9358574158936,-918.4568285923472,-860.5132836292728,-788.7279789585301,-719.458036441737
1.6201005025125628,-825.7742998296962,-921.255254444854,-918.527106249391,-862.5866087204333,-791.8261343373927,-722.9377579796005
1.621608040201005,-822.4718000407229,-918.997153038834,-917.4654667759326,-862.2834616735895,-791.9705279121554,-723.2961073628128
1.6231155778894473,-821.8424382903772,-917.537869382994,-915.7610237946626,-860.6358922336226,-790.4455551314737,-721.8912394064312
1.6246231155778894,-821.6035250271552,-916.1887075738229,-913.9538908997632,-858.7835522284565,-788.6695207851641,-720.2229074792122
1.6261306532663315,-821.3662420451344,-914.8323099163088,-912.1359848416804,-856.9204668433126,-786.883910035353,-718.5464710563458
1.627638190954774,-821.1203147314949,-913.4649782780376,-910.3086485237716,-855.0504683749182,-785.0937578288372,-716.8673749827427
