wavl,Symmetric 2,Anti-Symmetric 2,Symmetric N,Anti-Symmetric N
1.5476476476476500,-565.0957006613350,-590.0872169874900,-552.5999424982570,-602.5829751505670
1.5477477477477500,-564.9516924159870,-590.096024728413,-552.3795262597740,-602.668190884626
1.547847847847850,-564.8076699530190,-590.1048685140690,-552.1590706724950,-602.7534677945930
1.5479479479479500,-564.6636316358310,-590.113749943655,-551.9385724819190,-602.8388090975670
1.548048048048050,-564.5195779055720,-590.1226685386610,-551.7180325890280,-602.9242138552050
1.5481481481481500,-564.3755101261150,-590.1316228978150,-551.4974537402640,-603.0096792836660
1.5482482482482500,-564.2314271219730,-590.1406140437820,-551.2768336033360,-603.0952074469560
1.5483483483483500,-564.0873289882250,-590.1496421904740,-551.0561723871000,-603.1807987915990
1.5484484484484500,-563.94321558836,-590.1587073215670,-550.8354698372190,-603.266453303634
1.5485485485485500,-563.799086670357,-590.167809189838,-550.6147254683480,-603.35217050731
1.5486486486486500,-563.6549432526330,-590.1769468549390,-550.3939413359980,-603.4379485406100
1.5487487487487500,-563.5107842749360,-590.1861216860380,-550.173115338368,-603.5237901605720
1.548848848848850,-563.3666104094990,-590.1953337823160,-549.9522488386070,-603.6096955842430
1.548948948948950,-563.2224214042830,-590.2045820878530,-549.7313413513380,-603.6956627184770
1.5490490490490500,-563.0782167762770,-590.213866470433,-549.5103919292170,-603.7816913175290
1.5491491491491500,-562.9339976600710,-590.2231870288620,-549.2894028601210,-603.8677815977040
1.5492492492492500,-562.7897629948200,-590.2325446711790,-549.0683720410510,-603.9539353937670
1.5493493493493500,-562.645512181675,-590.241939959041,-548.847298292992,-604.040153847724
1.5494494494494500,-562.5012463554100,-590.2513714891100,-548.6261839041860,-604.1264341715870
1.5495495495495500,-562.3569656106110,-590.2608385511490,-548.405029082502,-604.2127749635770
1.5496496496496500,-562.212669811188,-590.2703420533620,-548.183833574438,-604.2991780587860
1.5497497497497500,-562.0683589363260,-590.2798824418580,-547.9625973570640,-604.3856443681270
1.5498498498498500,-561.925007932513,-590.2884832291290,-547.7432703420460,-604.4702209352770
1.54994994994995,-561.8060628882020,-590.2726988676380,-547.5727447249810,-604.5060166838520
1.55005005005005,-561.7554988804260,-590.1885552840430,-547.5389706786170,-604.4050834858520
1.5501501501501500,-561.7733464769170,-590.0360208321970,-547.6420093571180,-604.1673580676770
1.5502502502502500,-561.8156679542820,-589.8590331980830,-547.7939853323820,-603.8807158199840
1.5503503503503500,-561.8590228262600,-589.6810331776270,-547.9480176505760,-603.5920383533110
1.5504504504504500,-561.9024363361690,-589.5029953744410,-548.1021568170320,-603.3032748935770
1.5505505505505500,-561.9459075467600,-589.3249206884070,-548.2564009759370,-603.0144272592300
1.5506506506506500,-561.989434826552,-589.1468107136060,-548.4107468830250,-602.7254986571320
1.5507507507507500,-562.0330193212350,-588.9686642669740,-548.5651968483650,-602.4364867398440
1.550850850850850,-562.0766606715650,-588.7904816703750,-548.7197501721600,-602.1473921697800
1.550950950950950,-562.1203593296120,-588.6122624343630,-548.8744077772370,-601.858213986738
1.5510510510510500,-562.1641155153990,-588.4340063015270,-549.029170122335,-601.5689516945900
1.551151151151150,-562.207928754283,-588.2557137091360,-549.1840362768570,-601.2796061865630
1.5512512512512500,-562.2517986867980,-588.0773849792810,-549.3390055405570,-600.9901781255220
1.5513513513513500,-562.2957258806720,-587.8990195068420,-549.4940790675870,-600.7006663199270
1.5514514514514500,-562.3397102091590,-587.7206173811890,-549.6492566231440,-600.4110709672040
1.5515515515515500,-562.383751081399,-587.5421791557980,-549.8045370442000,-600.121393192998
1.5516516516516500,-562.42784929643,-587.3637039942550,-549.959921947518,-599.8316313431670
1.5517517517517500,-562.4720047266360,-587.1851919867830,-550.1154110965620,-599.5417856168570
1.5518518518518500,-562.5162172455000,-587.0066432225310,-550.2710042569850,-599.2518562110460
1.551951951951950,-562.5604863772150,-586.8280581399180,-550.4267004958630,-598.9618440212690
1.5520520520520500,-562.6048121101100,-586.6494367132500,-550.5824998085400,-598.6717490148200
1.5521521521521500,-562.6491953606780,-586.4707779886380,-550.7384040466980,-598.3815693026180
1.5522522522522500,-562.6936360012970,-586.2920821723730,-550.8944129737810,-598.0913053159340
1.5523523523523500,-562.7381328607140,-586.1133500501870,-551.0505242659780,-597.8009586449230
1.5524524524524500,-562.7826866233820,-585.9345811323460,-551.2067393108770,-597.5105283288060
1.5525525525525500,-562.8272979736320,-585.7557749292210,-551.363059495838,-597.220013407015
1.5526526526526500,-562.8719653917890,-585.5769324588480,-551.5194818002010,-596.9294159343190
1.5527527527527500,-562.9166902590820,-585.3980528831480,-551.6760090051070,-596.6387342532400
1.552852852852850,-562.9614717506550,-585.2191364089930,-551.8326394795440,-596.3479687962220
1.552952952952950,-563.0063093914620,-585.040183357912,-551.989372292101,-596.0571202250020
1.553053053053050,-563.0512052593980,-584.8611925436670,-552.1462116172640,-595.7661861858020
1.5531531531531500,-563.0961581813980,-584.6821644051660,-552.3031551275920,-595.4751675751260
1.5532532532532500,-563.1411668702440,-584.5031000760600,-552.4602002673360,-595.1840666789670
