wavl,"AS(2.50,0.00)","AS(2.60,0.00)","AS(2.70,0.00)","AS(2.80,0.00)","AS(2.90,0.00)","AS(3.00,0.00)","AS(3.10,0.00)","AS(3.20,0.00)","AS(3.30,0.00)","AS(3.40,0.00)","AS(3.50,0.00)"
1.5497294589178356,121.8609888299743,238.2614120275421,354.05584688410875,510.970172563126,694.9314612212966,876.8629398230939,1120.0578933159618,1398.059890249565,1663.7607760513824,2003.341149769496,2369.7100669822744
1.5499098196392784,121.2727165234886,238.4879356490492,355.4865541266072,514.664803886164,702.1623655076378,888.4323857470272,1138.531925831195,1425.6690419655315,1701.0538865921776,2054.017225495524,2435.74203601009
1.5500901803607214,119.0857865036362,236.1610061815564,353.1416013464297,512.4850458631479,700.428560861548,887.3628884172724,1138.6115034382367,1427.3064241447607,1704.31761705473,2059.4351594078307,2443.47042649382
1.5502705410821642,115.29882816702968,231.27843377081228,347.0177499112797,504.4258588466405,689.7223556020504,873.6436029523957,1120.2808418668403,1402.9497496274978,1673.5227652067638,2019.5561127528863,2392.8452041676805
1.5504509018036072,110.93805622478668,225.47995322422605,339.54016211465773,494.2612072297063,675.8038853911744,855.3961885293907,1095.3608687102262,1369.2901776507133,1630.5394177402363,1963.46727155872,2321.338210125483
1.55063126252505,106.55111447625006,219.64061599941127,332.0030362110765,484.0050833921009,661.7470715881923,836.9548038674016,1070.1598734768374,1335.2350181712216,1587.038641932521,1906.6911397637089,2248.946456181342
1.550811623246493,102.16082673983,213.79689123855167,324.4603100932843,473.7414240646767,647.6800255936885,818.5000833107665,1044.940766431409,1301.1555009314695,1543.5068527452586,1849.8746487897488,2176.5033579482065
1.5509919839679358,97.76719234983386,207.94877803214703,316.9119825648429,463.4702275979282,633.602745128276,800.0320238539218,1019.703543451866,1267.0516203517827,1499.944043045456,1793.0177893239534,2104.008903552047
1.5511723446893786,93.37021062085,202.0962754489026,309.35805241259766,453.1914923287841,619.5152278948526,781.5506224748017,994.448200400431,1232.923370835306,1456.3502056834782,1736.1205520347876,2031.463081098459
1.5513527054108216,88.96988089371166,196.23938258464216,301.79851844739505,442.90521661470257,605.4174716199007,763.0558761752786,969.1747331644608,1198.7707468125504,1412.7253335370426,1679.1829276217543,1958.865878726805
1.5515330661322644,84.5662024900239,190.3780985179303,294.23337946356014,432.6113987941197,591.3094740140466,744.5477819410762,943.8831376135832,1164.5937426952416,1369.069419465566,1622.2049067634157,1886.2172845529726
1.5517134268537074,80.1591747209402,184.51242231590103,286.6626342447885,422.31003719823457,577.1912327770353,726.0263367444675,918.5734096055075,1130.3923528810285,1325.3824563122337,1565.1864801214297,1813.5172866745766
1.5518937875751502,75.74879693468563,178.64235308219088,279.0862816082032,412.0011301927386,563.0627456433806,707.491537596113,893.2455450355078,1096.166571809928,1281.6644369649546,1508.1276384065095,1740.7658732437417
1.5520741482965932,71.33506844707517,172.76788988694068,271.50432034192124,401.6846761114125,548.9240103172588,688.9433814758149,867.8995397661804,1061.9163938860809,1237.9153542747026,1451.028372287984,1667.963032366938
1.552254509018036,66.91798857223978,166.88903180040427,263.9167492317864,391.360673287988,534.7750244990702,670.3818653563228,842.5353896554859,1027.6418135068702,1194.1352010847434,1393.8886724269353,1595.1087521406143
1.552434869739479,62.49755666133956,161.00577792997728,256.3235671003331,381.0291200914827,520.6157859291404,651.8069862540356,817.1530906072321,993.3428251212254,1150.3239702930234,1336.7085295452396,1522.2030207286566
1.5526152304609218,58.07377202003022,155.11812733632303,248.7247727240093,370.69001484406976,506.4462922991997,633.2187411354444,791.7526384693351,959.0194231172997,1106.481654732734,1279.487934292515,1449.2458262162495
1.5527955911823648,53.64663398474079,149.2260791119911,241.12036491129425,360.34335590305966,492.2665413349887,614.6171270014393,766.3340291278146,924.671601923858,1062.608247281113,1222.2268773672151,1376.2371567418056
